id,title,url,source_site,publish_date,auto_decision,auto_reason,suggested_label,manual_label,manual_note
2375,绵阳市骨科医院见习人员招募公告,https://www.scsmysgkyy.cn/index.php?m=content&c=index&a=show&catid=20&id=261,site_183_183,27:14.8,review,见习,,keep,
2360,成都市郫都区人民医院 关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2026/04/01/1594.html,site_149_149,25:51.8,review,辅助岗,,keep,
2342,重庆大地数博科技有限公司兼职招聘,https://www.cqljzp.com/announcement/index.php?id=1615,site_159_159,25:35.6,review,泛招聘词,,,
2337,宜宾市第四人民医院2026年第二次公开招募就业见习人员公告2026-03-31,https://www.ybsdsrmyy.com/job/1800.html,site_118_118,24:14.2,review,见习,,keep,
2318,天府锦城实验室(前沿医学中心)招聘启示,https://www.wchscu.cn/public/notice/recruit/91210.html,site_42_42,32:29.5,review,泛招聘词,,keep,
2275,关于招聘外派康复治疗技师的通知,http://www.ncrmyy.com/html/content/26/03/19843.shtml,site_20_20,31:04.3,review,泛招聘词,,keep,
2246,成都中医药大学附属医院巴中医院（巴中市中医医院）2026年上半年引进卫生类高层次人才...,http://www.sctcm120.com/info/1093/18459.htm,site_34_34,49:55.0,review,泛招聘词,,keep,
2237,资阳市人民医院 2025年招聘劳务派遣工作人员的公告,https://www.zysrmyy.com/hos_hr/2025/BeXQoAay.html,site_188_188,46:40.9,review,劳务派遣 | 派遣,,keep,
2220,232025-07四川省第二中医医院医疗卫生辅助岗招募公告浏览：1227,https://www.sc2zyy.com/newsshow.aspx?mid=414&id=12936,site_181_181,46:34.1,review,辅助岗,,keep,
2202,剑阁县人民医院见习生招录公告,https://www.jgrmyy.cn/article.html?id=4991,site_172_172,46:21.7,review,见习,,keep,
2145,雅安市中医医院2025年见习生招录公告,https://www.scsyaszyyy.com/yydt_zpxx/010011900003538.html,site_130_130,45:00.0,review,见习,,keep,
2143,雅安市中医医院2025年医疗卫生辅助岗招募公告,https://www.scsyaszyyy.com/yydt_zpxx/010011900003548.html,site_130_130,45:00.0,review,辅助岗,,keep,
2129,雅安市人民医院关于转发《雅安市2022年“雅州英才”工程赴外招才引智引进高…,https://www.yasyy.com/news/yasyy_1801/2022411/3539.html,site_128_128,44:55.1,review,泛招聘词,,keep,
2097,【人才招聘】岳池县中医医院2025年招收见习工作人员的公告,http://www.ycxzyyy.cn/plus/view.scjg?aid=8966,site_123_123,44:45.7,review,见习,,keep,
2091,岳池县中医医院2026年招收见习工作人员的公告,http://www.ycxzyyy.cn/plus/view.scjg?aid=9129,site_123_123,44:45.7,review,见习,,keep,
2085,宜宾市第四人民医院2025年第二次公开招募就业见习人员公告2025-10-11,https://www.ybsdsrmyy.com/job/1693.html,site_118_118,44:39.3,review,见习,,keep,
2083,宜宾市第四人民医院2026年第一次公开招募就业见习人员公告2026-03-06,https://www.ybsdsrmyy.com/job/1787.html,site_118_118,44:39.3,review,见习,,keep,
2052,南充市身心医院人事科关于组织春季招聘考试活动的通知,https://www.ncsxyy.com/news/zpxx/2020-03-19/1044.html,site_113_113,44:27.5,review,泛招聘词,,,
2011,关于开展乐山市人民医院2025年春季自主招聘护理人员考核工作的通知,https://www.leshan-hospital.com.cn/aspx/view_7C659942B2BAFCF1.html,site_107_107,44:24.2,review,泛招聘词,,,
1992,剑阁县中医院2017年医学毕业生招聘计划,http://jgxzy.com/info/511.htm,site_97_97,44:16.8,review,泛招聘词,,keep,
1991,剑阁县中医院2017年招聘计划,http://www.jgxzyy.cn/article.html?id=536,site_97_97,44:16.8,review,泛招聘词,,keep,
1967,德阳市口腔医院2026年总体拟招聘计划表,https://www.dykq120.com/index.php/shows/53/1564.html,site_86_86,44:09.6,review,泛招聘词,,keep,
1952,攀枝花市中心医院招聘见习生,https://mp.weixin.qq.com/s/IABhE0c782XNIrcYn31vmA,site_80_80,44:03.9,review,见习,,keep,
1940,•富顺县人民医院关于招聘见习护士的公告,https://www.fsx120.cn/View_487_2515.html,site_77_77,43:59.3,review,见习,,keep,
1936,•富顺县人民医院2025年人员招聘需求,https://www.fsx120.cn/View_487_9016.html,site_77_77,43:59.3,review,泛招聘词,,keep,
1934,自贡市第一人民医院招聘医疗辅助岗人员公告,https://www.zgno1hos.com.cn/details/yygg/zxls/6087507.html,site_71_71,43:51.6,review,辅助岗,,keep,
1897,四川大学华西第四医院泌尿外科/盆底男科科研助理选聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700015388.html,site_41_41,43:28.5,review,科研助理,,keep,
1893,四川大学华西第四医院尘肺科/呼吸与危重症医学科科研助理选聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700016057.html,site_41_41,43:28.5,review,科研助理,,keep,
1886,四川大学华西第四医院甲状腺乳腺外科科研助理招聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700016972.html,site_41_41,43:28.5,review,科研助理,,keep,
1864,关于2025“蓉漂人才荟”成都市医疗卫生事业单位公开（考核）招聘2025年、2026年医...,https://cdfy120.cdu.edu.cn/info/1174/13224.htm,site_33_33,43:20.8,review,泛招聘词,,keep,
1832,重庆医科大学附属永川医院招聘援巴新医疗队厨师,https://www.ychcqmu.com/recruitment_system_rszp_qtryzp/130026200000268.html,site_15_15,43:11.3,review,泛招聘词,,keep,
1818,重庆市渝北区人民医院常年引进高层次人才计划,https://www.ybqrmyy.com/pageInfoArt.html?artId=19&page=1,site_8_8,42:58.5,review,泛招聘词,,keep,
1788,重庆市红十字会医院（江北区人民医院） 非编招聘工作人员,https://www.cqshszhyy.cn/html/content/25/06/5277.shtml,site_162_162,16:22.5,review,泛招聘词,,keep,
1741,江油市人民医院2025年招募见习生公告,https://www.scjysrmyy.com/html/News/GongGao/RenYuanZhaoPin/202504/202504273Py5Rl5Lv5Gf44413872.html,site_94_94,15:46.7,review,见习,,keep,
1721,>泸县第二人民医院招聘精神科医生,https://www.lxery.com/go.htm?url=home_detail&ctype=article&id=74624&k=zhao_pin_xin_xi,site_84_84,15:27.5,review,泛招聘词,,keep,
1623,人才招聘,https://www.scsmysgkyy.cn/index.php?m=content&c=index&a=show&catid=20&id=241,site_185_185,04:42.3,review,泛招聘词,,keep,
1459,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/vbmZEOdY.html,site_155_155,02:46.1,review,辅助岗,,keep,
1458,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/RdG690bD.html,site_155_155,02:46.1,review,辅助岗,,keep,
1457,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/QeZ6w6ep.html,site_155_155,02:46.1,review,辅助岗,,keep,
1456,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/lejRv5ej.html,site_155_155,02:46.1,review,辅助岗,,keep,
1455,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/mbkRwXaz.html,site_155_155,02:46.1,review,辅助岗,,keep,
1454,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/wdL9Y4ej.html,site_155_155,02:46.1,review,辅助岗,,keep,
1426,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/06/09/1442.html,site_150_150,02:27.1,review,辅助岗,,keep,
1425,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/06/20/1455.html,site_150_150,02:27.1,review,辅助岗,,keep,
1424,成都市郫都区人民医院关于招聘4名辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/07/08/1461.html,site_150_150,02:27.1,review,辅助岗,,keep,
1423,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/08/06/1482.html,site_150_150,02:27.1,review,辅助岗,,keep,
1422,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/10/17/1514.html,site_150_150,02:27.1,review,辅助岗,,keep,
1421,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/11/19/1532.html,site_150_150,02:27.1,review,辅助岗,,keep,
1420,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/11/28/1541.html,site_150_150,02:27.1,review,辅助岗,,keep,
1419,成都市郫都区人民医院 关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/12/29/1557.html,site_150_150,02:27.1,review,辅助岗,,keep,
1418,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2026/01/14/1562.html,site_150_150,02:27.1,review,辅助岗,,keep,
1417,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2026/03/17/1584.html,site_150_150,02:27.1,review,辅助岗,,keep,
1385,重庆市区县事业单位2025年第四季度考核招聘工作人员考试报名统计1128,https://rlsbj.cq.gov.cn/202511/t20251128_15196113.html,site_147_147,02:22.5,review,泛招聘词,,,
1382,重庆市区县事业单位2025年第四季度考核招聘工作人员考试报名统计1201,https://rlsbj.cq.gov.cn/zwxx_182/sydw/sydwgkzp2024_490546/202512/t20251201_15200118.html,site_147_147,02:22.5,review,泛招聘词,,,
1379,重庆市区县事业单位2026年第一季度考核招聘工作人员考试报名统计2026-02-04,https://rlsbj.cq.gov.cn/202602/t20260204_15379163.html,site_147_147,02:22.4,review,泛招聘词,,,
1376,重庆市属事业单位2026年第一季度考核招聘高层次和紧缺人才考试报名统计2026-02-04,https://rlsbj.cq.gov.cn/202602/t20260204_15379234.html,site_147_147,02:22.4,review,泛招聘词,,,
1375,重庆市区县事业单位2026年第一季度考核招聘工作人员考试报名统计2026-02-05,https://rlsbj.cq.gov.cn/202602/t20260205_15383228.html,site_147_147,02:22.4,review,泛招聘词,,,
1372,重庆市属事业单位2026年第一季度考核招聘高层次和紧缺人才考试报名统计2026-02-05,https://rlsbj.cq.gov.cn/202602/t20260205_15383262.html,site_147_147,02:22.4,review,泛招聘词,,,
1369,重庆市12356心理援助热线接线员招募,https://www.cqsjwzx.com/html/content/25/06/17145.shtml,site_145_145,02:18.0,review,泛招聘词,,,
1367,重庆市精神卫生中心EMDR心理治疗技术临床应用与患者招募,https://www.cqsjwzx.com/html/content/25/06/17151.shtml,site_145_145,02:18.0,review,泛招聘词,,,
1365,重庆市12356心理援助热线接线员招募,https://www.cqsjwzx.com/html/content/25/07/17156.shtml,site_145_145,02:18.0,review,泛招聘词,,,
1341,四川省南充精神卫生中心2025年度招聘计划,http://www.scsncjwzx.com/2025/yygg_0213/2987.html,site_142_142,02:13.3,review,泛招聘词,,keep,
1330,四川省南充精神卫生中心关于2026年春季自主招聘护士实操考试的通知,http://www.scsncjwzx.com/2026/yygg_0115/3003.html,site_142_142,02:13.3,review,泛招聘词,,,
1325,四川省南充精神卫生中心关于2026年第二批编外招聘护理岗实操考试的通知,http://www.scsncjwzx.com/2026/yygg_0312/3012.html,site_142_142,02:13.3,review,泛招聘词,,,
1303,绵竹市人民医院护理部招聘护士11名,https://www.mzsrmyy.com/ywgk_rczp/010012800018618.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1302,绵竹市人民医院2024年人才招聘计划（第三次）,https://www.mzsrmyy.com/ywgk_rczp/010012800018783.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1301,绵竹市人民医院2024年人才招聘计划（第四次）,https://www.mzsrmyy.com/ywgk_rczp/010012800019129.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1300,绵竹市人民医院2024年人才招聘计划（第五次）,https://www.mzsrmyy.com/ywgk_rczp/010012800019399.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1299,绵竹市人民医院药剂科拟招聘药师1名,https://www.mzsrmyy.com/ywgk_rczp/010012800019525.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1298,绵竹市人民医院宣传部拟招聘干事1名,https://www.mzsrmyy.com/ywgk_rczp/010012800019713.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1296,绵竹市人民医院2025年度春季招聘计划,https://www.mzsrmyy.com/ywgk_rczp/010012800021482.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1290,绵竹市人民医院关于2025年度秋季护理人才招聘计划调整的情况说明,https://www.mzsrmyy.com/ywgk_rczp/010012800024248.html,site_139_139,02:09.2,review,泛招聘词,,keep,
1190,四川金得利劳务派遣有限公司岳池分公司招聘劳务派遣人员公告,https://www.ycxrmyy.sc.cn/gw_yygg_zpxx/010050100003188.html,site_124_124,59:41.9,review,劳务派遣 | 派遣,,keep,
1189,四川金得利劳务派遣有限公司岳池分公司招聘劳务派遣人员公告,https://www.ycxrmyy.sc.cn/gw_yygg_zpxx/010050100003193.html,site_124_124,59:41.9,review,劳务派遣 | 派遣,,keep,
1185,岳池县人民医院2025年7月病案统计科工作人员招聘启示,https://www.ycxrmyy.sc.cn/gw_yygg_zpxx/010050100003291.html,site_124_124,59:41.9,review,泛招聘词,,keep,
1184,岳池县人民医院2025年8月120调度室工作人员招聘启示,https://www.ycxrmyy.sc.cn/gw_yygg_zpxx/010050100003313.html,site_124_124,59:41.9,review,泛招聘词,,keep,
